StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1,Q2,Q2_5_TEXT,Q3,Q4,Q4_7_TEXT,Q5,Q5_5_TEXT,Q6,Q7,Q8,Q9,Q10_1,Q10_2,Q10_3,Q10_4,Q11_1,Q11_2,Q11_3,Q11_4,Q12_1,Q12_2,Q12_3,Q13_1,Q13_2,Q13_3,Q13_4,Q14_1,Q14_2,Q14_3,Q14_4,Q15_1,Q15_2,Q15_3,Q15_4,Q16_1,Q16_2,Q16_3,Q16_4,Q16_5,Q17_1,Q17_2,Q17_3,Q17_4,Q18_1,Q18_2,Q18_3,Q18_4,Q19_1,Q19_2,Q19_3,Q19_4,Q19_5,Q19_6
2024-03-25 09:41:15,2024-03-25 09:46:42,IP Address,152.20.104.1,100,326,True,2024-03-25 09:46:42,R_5sJJLu1xUd9Rke5,,,,,34.2243,-77.8849,anonymous,EN,I agree,Female,,18-24,Asian,,Single,,No,,Four-semester,2nd,Sometimes,Rarely,Sometimes,Rarely,Always,Frequently,Sometimes,Rarely,Sometimes,Frequently,Sometimes,Sometimes,Sometimes,Never,Sometimes,Rarely,Rarely,Rarely,Frequently,Never,Never,Never,Rarely,Never,Rarely,Rarely,Sometimes,Sometimes,Frequently,Always,Sometimes,Sometimes,Sometimes,Frequently,Sometimes,Sometimes,Sometimes,Frequently,Rarely,Rarely,Sometimes,Frequently
2024-03-25 09:48:28,2024-03-25 09:53:01,IP Address,152.20.103.1,100,272,True,2024-03-25 09:53:02,R_2CEqWuoPFxPMtqH,,,,,34.2243,-77.8849,anonymous,EN,I agree,Female,,18-24,Caucasian,,Single,,No,,Four-semester,2nd,Always,Frequently,Frequently,Sometimes,Rarely,Sometimes,Frequently,Sometimes,Sometimes,Frequently,Sometimes,Always,Always,Frequently,Frequently,Rarely,Never,Rarely,Always,Rarely,Never,Sometimes,Frequently,Rarely,Sometimes,Never,Never,Sometimes,Sometimes,Always,Rarely,Sometimes,Sometimes,Sometimes,Always,Frequently,Frequently,Never,Frequently,Sometimes,Sometimes,Frequently
2024-03-25 09:50:53,2024-03-25 09:54:36,IP Address,174.110.97.49,100,222,True,2024-03-25 09:54:36,R_5lJRpNHWRNJ7y18,,,,,34.2243,-77.8849,anonymous,EN,I agree,Female,,18-24,Caucasian,,Single,,No,,Four-semester,1st,Frequently,Frequently,Frequently,Frequently,Always,Always,Always,Sometimes,Sometimes,Sometimes,Rarely,Frequently,Frequently,Frequently,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Rarely,Sometimes,Rarely,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Frequently,Sometimes,Frequently,Frequently,Frequently,Sometimes,Sometimes,Sometimes,Frequently,Sometimes,Rarely,Sometimes,Frequently,Sometimes,Rarely
2024-03-25 09:48:56,2024-03-25 09:58:14,IP Address,104.28.32.199,100,557,True,2024-03-25 09:58:14,R_3bZUlNraGY1BOdY,,,,,33.7153,-84.3312,anonymous,EN,I agree,Female,,18-24,Latino or Hispanic,,Single,,No,,Four-semester,1st,Sometimes,Rarely,Rarely,Sometimes,Frequently,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Never,Sometimes,Never,Rarely,Never,Frequently,Never,Rarely,Never,Sometimes,Sometimes,Never,Sometimes,Sometimes,Frequently,Sometimes,Always,Frequently,Sometimes,Frequently,Always,Frequently,Frequently,Rarely,Frequently,Sometimes,Sometimes,Frequently,Frequently
2024-03-25 09:58:19,2024-03-25 10:02:54,IP Address,152.20.104.253,100,275,True,2024-03-25 10:02:55,R_3CXRMLB8hKN6y6B,,,,,34.2243,-77.8849,anonymous,EN,I agree,Female,,18-24,Caucasian,,Single,,No,,Four-semester,1st,Sometimes,Never,Never,Never,Frequently,Frequently,Always,Sometimes,Frequently,Frequently,Sometimes,Rarely,Sometimes,Never,Sometimes,Rarely,Never,Sometimes,Always,Rarely,Rarely,Never,Never,Never,Rarely,Sometimes,Sometimes,Rarely,Frequently,Always,Always,Sometimes,Frequently,Frequently,Frequently,Sometimes,Rarely,Sometimes,Always,Always,Frequently,Never
2024-03-25 11:00:31,2024-03-25 11:05:27,IP Address,172.59.218.114,100,295,True,2024-03-25 11:05:27,R_715OELPpaQcNbTe,,,,,35.2296,-80.843,anonymous,EN,I agree,Female,,18-24,Caucasian,,Single,,No,,Five-semester,5th,Sometimes,Sometimes,Sometimes,Rarely,Rarely,Sometimes,Rarely,Always,Frequently,Frequently,Sometimes,Rarely,Sometimes,Rarely,Frequently,Always,Always,Always,Sometimes,Sometimes,Sometimes,Sometimes,Rarely,Never,Rarely,Frequently,Never,Rarely,Frequently,Always,Frequently,Sometimes,Frequently,Frequently,Frequently,Sometimes,Sometimes,Frequently,Frequently,Frequently,Sometimes,Always
2024-03-25 09:40:40,2024-03-25 11:06:26,IP Address,152.20.104.1,100,5146,True,2024-03-25 11:06:27,R_7M4ippukS08z7W2,,,,,34.2243,-77.8849,anonymous,EN,I agree,Female,,18-24,Caucasian,,Single,,Yes,"Assocaites in Arts & Associates in Science ",Four-semester,2nd,Rarely,Never,Never,Never,Always,Always,Always,Frequently,Frequently,Always,Sometimes,Rarely,Never,Frequently,Sometimes,Rarely,Never,Never,Frequently,Never,Rarely,Never,Never,Rarely,Never,Never,Never,Rarely,Always,Always,Always,Rarely,Frequently,Frequently,Always,Sometimes,Frequently,Frequently,Frequently,Frequently,Frequently,Always
2024-03-25 11:33:35,2024-03-25 11:40:10,IP Address,173.93.49.86,100,395,True,2024-03-25 11:40:10,R_6OCXIgFqRXEnkxc,,,,,34.1632,-77.8723,anonymous,EN,I agree,Female,,18-24,Caucasian,,Single,,No,,Five-semester,5th,Sometimes,Rarely,Rarely,Rarely,Always,Frequently,Frequently,Sometimes,Sometimes,Frequently,Sometimes,Sometimes,Sometimes,Rarely,Sometimes,Never,Rarely,Rarely,Sometimes,Rarely,Rarely,Rarely,Sometimes,Rarely,Rarely,Rarely,Never,Rarely,Rarely,Always,Always,Rarely,Frequently,Always,Always,Sometimes,Sometimes,Always,Rarely,Frequently,Frequently,Frequently
2024-03-25 11:58:57,2024-03-25 12:02:31,IP Address,152.20.104.253,100,214,True,2024-03-25 12:02:32,R_3qkV0f3p3iniLTR,,,,,34.2243,-77.8849,anonymous,EN,I agree,Male,,18-24,Caucasian,,Other:,Domestic Partnership,No,,Four-semester,1st,Sometimes,Rarely,Sometimes,Sometimes,Frequently,Always,Sometimes,Frequently,Frequently,Frequently,Sometimes,Sometimes,Frequently,Never,Never,Never,Sometimes,Sometimes,Sometimes,Frequently,Frequently,Sometimes,Always,Sometimes,Always,Sometimes,Rarely,Sometimes,Frequently,Frequently,Frequently,Sometimes,Frequently,Frequently,Frequently,Sometimes,Sometimes,Frequently,Frequently,Frequently,Frequently,Always
2024-03-25 12:03:08,2024-03-25 12:06:39,IP Address,152.20.104.1,100,211,True,2024-03-25 12:06:40,R_3alwElJH2d0e23e,,,,,34.2243,-77.8849,anonymous,EN,I agree,Female,,18-24,Asian,,Single,,No,,Four-semester,1st,Frequently,Frequently,Sometimes,Sometimes,Always,Frequently,Frequently,Sometimes,Sometimes,Frequently,Sometimes,Frequently,Frequently,Rarely,Sometimes,Rarely,Rarely,Rarely,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Rarely,Sometimes,Sometimes,Rarely,Sometimes,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Always,Always,Frequently,Sometimes,Frequently,Frequently
2024-03-25 12:08:51,2024-03-25 12:12:03,IP Address,140.82.218.242,100,192,True,2024-03-25 12:12:04,R_1G6ZtK4ILVoz7Nx,,,,,34.2243,-77.8849,anonymous,EN,I agree,Female,,18-24,Caucasian,,Single,,No,,Five-semester,3rd,Frequently,Frequently,Frequently,Frequently,Always,Frequently,Always,Sometimes,Rarely,Frequently,Rarely,Frequently,Frequently,Rarely,Sometimes,Sometimes,Frequently,Frequently,Always,Sometimes,Frequently,Frequently,Sometimes,Frequently,Frequently,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Frequently,Sometimes,Sometimes,Sometimes,Frequently,Frequently,Sometimes,Rarely,Frequently,Frequently,Frequently
2024-03-25 12:09:04,2024-03-25 12:12:08,IP Address,152.20.104.1,100,184,True,2024-03-25 12:12:09,R_1nuRBTyi4Pm9eZq,,,,,34.2243,-77.8849,anonymous,EN,I agree,Female,,18-24,Caucasian,,Single,,No,,Five-semester,3rd,Sometimes,Sometimes,Sometimes,Sometimes,Frequently,Frequently,Frequently,Rarely,Sometimes,Sometimes,Rarely,Rarely,Sometimes,Rarely,Sometimes,Sometimes,Sometimes,Sometimes,Frequently,Frequently,Frequently,Frequently,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Frequently,Sometimes,Sometimes,Sometimes,Sometimes,Frequently,Sometimes,Frequently,Frequently,Frequently,Sometimes,Sometimes
2024-03-25 12:09:02,2024-03-25 12:12:19,IP Address,174.247.16.156,100,197,True,2024-03-25 12:12:20,R_2UYlUlbgAjcFq91,,,,,35.2369,-80.8957,anonymous,EN,I agree,Female,,18-24,Caucasian,,Single,,No,,Five-semester,3rd,Sometimes,Frequently,Sometimes,Sometimes,Sometimes,Sometimes,Rarely,Always,Frequently,Always,Rarely,Rarely,Rarely,Never,Never,Never,Rarely,Never,Sometimes,Sometimes,Sometimes,Sometimes,Rarely,Sometimes,Frequently,Sometimes,Sometimes,Never,Sometimes,Always,Always,Rarely,Frequently,Always,Always,Rarely,Sometimes,Sometimes,Sometimes,Rarely,Frequently,Frequently
2024-03-25 12:11:48,2024-03-25 12:16:39,IP Address,152.20.103.254,100,291,True,2024-03-25 12:16:40,R_7CwgmIlWE6Iqubr,,,,,34.2243,-77.8849,anonymous,EN,I agree,Female,,18-24,Caucasian,,Single,,No,,Four-semester,1st,Rarely,Never,Rarely,Never,Frequently,Sometimes,Sometimes,Frequently,Frequently,Sometimes,Rarely,Sometimes,Sometimes,Never,Never,Never,Never,Rarely,Rarely,Never,Never,Never,Never,Never,Never,Never,Never,Sometimes,Frequently,Frequently,Sometimes,Rarely,Frequently,Always,Always,Sometimes,Never,Sometimes,Sometimes,Rarely,Always,Frequently
2024-03-25 12:20:34,2024-03-25 12:23:22,IP Address,104.28.77.107,100,167,True,2024-03-25 12:23:23,R_7lJhoQF7UEp3dcv,,,,,34.2198,-77.9534,anonymous,EN,I agree,Female,,18-24,Caucasian,,Single,,No,,Five-semester,3rd,Frequently,Sometimes,Rarely,Rarely,Always,Frequently,Frequently,Rarely,Frequently,Frequently,Rarely,Sometimes,Rarely,Frequently,Frequently,Always,Always,Always,Always,Frequently,Frequently,Frequently,Sometimes,Sometimes,Frequently,Always,Frequently,Frequently,Always,Sometimes,Frequently,Frequently,Frequently,Frequently,Frequently,Sometimes,Frequently,Rarely,Sometimes,Frequently,Sometimes,Sometimes
2024-03-25 12:08:50,2024-03-25 12:48:39,IP Address,104.28.77.106,100,2388,True,2024-03-25 12:48:39,R_1lhsFYDxL512PeO,,,,,34.2198,-77.9534,anonymous,EN,I agree,Female,,18-24,Caucasian,,Single,,No,,Five-semester,3rd,Frequently,Frequently,Frequently,Frequently,Always,Always,Always,Rarely,Sometimes,Sometimes,Never,Frequently,Sometimes,Frequently,Sometimes,Sometimes,Rarely,Sometimes,Frequently,Frequently,Sometimes,Sometimes,Sometimes,Sometimes,Frequently,Rarely,Rarely,Frequently,Sometimes,Rarely,Sometimes,Frequently,Sometimes,Sometimes,Frequently,Frequently,Sometimes,Frequently,Rarely,Rarely,Frequently,Frequently
2024-03-25 12:53:38,2024-03-25 12:58:48,IP Address,65.184.227.90,100,310,True,2024-03-25 12:58:49,R_3oiESHAuN49NBQL,,,,,34.3154,-77.7995,anonymous,EN,I agree,Male,,25-34,Caucasian,,Single,,No,,Five-semester,5th,Rarely,Rarely,Rarely,Always,Sometimes,Frequently,Sometimes,Rarely,Sometimes,Frequently,Always,Sometimes,Rarely,Never,Never,Always,Always,Always,Always,Sometimes,Sometimes,Sometimes,Never,Never,Sometimes,Always,Never,Sometimes,Never,Rarely,Frequently,Sometimes,Sometimes,Sometimes,Always,Rarely,Sometimes,Always,Never,Frequently,Sometimes,Frequently
2024-03-25 12:49:28,2024-03-25 13:02:45,IP Address,152.20.109.219,100,796,True,2024-03-25 13:02:45,R_1LcpQITPATEN5fv,,,,,34.2243,-77.8849,anonymous,EN,I agree,Female,,35-44,Caucasian,,Married,,Yes,Psychology & M.B.A.,Four-semester,2nd,Frequently,Frequently,Sometimes,Rarely,Frequently,Frequently,Frequently,Never,Sometimes,Frequently,Sometimes,Sometimes,Rarely,Rarely,Never,Never,Never,Never,Frequently,Never,Never,Never,Never,Sometimes,Never,Never,Never,Never,Frequently,Always,Always,Never,Frequently,Frequently,Frequently,Rarely,Never,Never,Frequently,Never,Sometimes,Frequently
2024-03-25 12:58:25,2024-03-25 13:04:54,IP Address,152.20.180.62,100,389,True,2024-03-25 13:04:55,R_10wop6eN9Ons967,,,,,34.2243,-77.8849,anonymous,EN,I agree,Female,,18-24,Caucasian,,Single,,No,,Five-semester,3rd,Sometimes,Sometimes,Sometimes,Frequently,Rarely,Rarely,Rarely,Frequently,Sometimes,Frequently,Sometimes,Rarely,Sometimes,Rarely,Never,Never,Sometimes,Sometimes,Never,Sometimes,Sometimes,Rarely,Rarely,Rarely,Never,Rarely,Never,Frequently,Sometimes,Always,Frequently,Sometimes,Frequently,Frequently,Frequently,Sometimes,Rarely,Sometimes,Rarely,Sometimes,Frequently,Frequently
2024-03-25 13:04:41,2024-03-25 13:07:43,IP Address,152.20.104.1,100,181,True,2024-03-25 13:07:43,R_1elMSZkuCV5AUBr,,,,,34.2243,-77.8849,anonymous,EN,I agree,Female,,18-24,Caucasian,,Single,,No,,Four-semester,1st,Sometimes,Rarely,Rarely,Rarely,Frequently,Frequently,Frequently,Frequently,Frequently,Sometimes,Rarely,Sometimes,Frequently,Sometimes,Frequently,Frequently,Sometimes,Frequently,Frequently,Sometimes,Rarely,Rarely,Rarely,Sometimes,Sometimes,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Sometimes,Frequently,Frequently,Sometimes,Sometimes,Frequently,Frequently,Frequently,Frequently
2024-03-25 13:14:06,2024-03-25 13:18:25,IP Address,98.101.135.131,100,258,True,2024-03-25 13:18:26,R_3ruZdv7l0IQWv11,,,,,34.2243,-77.8849,anonymous,EN,I agree,Female,,18-24,Caucasian,,Single,,No,,Four-semester,2nd,Sometimes,Frequently,Sometimes,Sometimes,Always,Frequently,Always,Sometimes,Sometimes,Sometimes,Rarely,Frequently,Frequently,Sometimes,Frequently,Never,Never,Never,Frequently,Rarely,Rarely,Rarely,Sometimes,Sometimes,Rarely,Never,Rarely,Rarely,Never,Always,Sometimes,Always,Sometimes,Sometimes,Frequently,Frequently,Always,Frequently,Sometimes,Rarely,Never,Rarely
